crate_id,order_id,item_id,x_start,x_end,y_start,y_end,z_start,z_end
0,0,56.0,0,83,0,89,0,332
0,0,354.0,0,89,0,89,0,314
0,0,179.0,0,61,0,96,0,220
0,0,69.0,0,62,0,155,0,270
0,0,430.0,0,30,0,60,0,219
0,0,37.0,0,55,0,391,0,127
0,0,179.0,0,61,0,96,0,220
0,0,126.0,0,162,0,289,0,105
0,0,440.0,0,72,0,84,0,229
0,0,160.0,0,20,0,159,0,103
0,0,225.0,0,61,0,268,0,173
0,0,430.0,0,30,0,60,0,219
0,0,198.0,0,61,0,125,0,259
0,0,53.0,0,32,0,135,0,167
0,0,96.0,0,183,0,93,0,43
0,0,434.0,0,76,0,50,0,166
0,0,383.0,0,82,0,72,0,101
0,0,74.0,0,74,0,78,0,268
0,0,298.0,0,66,0,120,0,68
0,0,376.0,0,114,0,103,0,190
0,0,495.0,0,37,0,320,0,36
1,1,20.0,0,135,0,109,0,1
1,1,195.0,0,89,0,93,0,366
1,1,315.0,0,82,0,203,0,248
1,1,370.0,0,87,0,213,0,249
1,1,215.0,0,76,0,90,0,291
1,1,319.0,0,91,0,81,0,293
1,1,411.0,0,83,0,84,0,155
1,1,11.0,0,65,0,195,0,273
1,1,125.0,0,166,0,156,0,133
1,1,125.0,0,166,0,156,0,133
1,1,480.0,0,44,0,202,0,46
1,1,278.0,0,56,0,119,0,121
1,1,445.0,0,66,0,96,0,251
1,1,478.0,0,13,0,150,0,75
1,1,174.0,0,23,0,150,0,85
1,1,33.0,0,56,0,137,0,224
1,1,411.0,0,83,0,84,0,155
1,1,495.0,0,37,0,320,0,36
1,1,401.0,0,25,0,200,0,87
1,1,137.0,0,30,0,112,0,162
1,1,338.0,0,18,0,166,0,234
2,1,223.0,0,86,0,207,0,112
2,1,274.0,0,184,0,167,0,369
2,1,281.0,0,93,0,267,0,154
2,1,34.0,0,101,0,102,0,96
2,1,411.0,0,83,0,84,0,155
3,2,125.0,0,166,0,156,0,133
3,2,156.0,0,69,0,252,0,311
3,2,411.0,0,83,0,84,0,155
3,2,405.0,0,74,0,124,0,253
3,2,478.0,0,13,0,150,0,75
3,2,11.0,0,65,0,195,0,273
3,2,479.0,0,36,0,319,0,213
3,2,131.0,0,59,0,132,0,241
3,2,163.0,0,76,0,124,0,260
3,2,125.0,0,166,0,156,0,133
3,2,0.0,0,102,0,102,0,119
3,2,165.0,0,64,0,150,0,225
3,2,292.0,0,105,0,88,0,116
3,2,411.0,0,83,0,84,0,155
3,2,401.0,0,25,0,200,0,87
3,2,57.0,0,67,0,69,0,191
3,2,109.0,0,32,0,71,0,209
3,2,480.0,0,44,0,202,0,46
3,2,253.0,0,46,0,86,0,138
3,2,206.0,0,106,0,44,0,236
4,2,370.0,0,87,0,213,0,249
4,2,69.0,0,62,0,155,0,270
4,2,74.0,0,74,0,78,0,268
4,2,36.0,0,71,0,146,0,178
4,2,154.0,0,59,0,90,0,188
4,2,148.0,0,154,0,329,0,112
4,2,58.0,0,94,0,84,0,319
4,2,58.0,0,94,0,84,0,319
